	906817	753555	1503366	1503367	1503361	753559	1503368	753573	907317	907318	1240167	907319	753574	907320	1298222	907321	753575	753576	1503363	1503362	910079	1298359	910549	1503365	753621	753622	946354	946356	753614	1503371	735784	946355	753623	946353	1299064
chr6:105584148-105585621	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0
chr6:110679417-110679833	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
chr3:99594969-99595215	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1
chr20:30310503-30310707	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	1
chr7:87256958-87258444	0	1	1	1	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0
chr4:122301567-122302290	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	0	0
chr17:44656490-44657494	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0
chr22:24384134-24384405	1	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1	1	1	0
chr8:67344497-67344989	0	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0
